date,close,volume,open,high,low
2014-02-11,3.09,93919.0,2.43,4.08,2.43
2014-02-12,3.98,250567.0,3.77,3.98,3.4
2014-02-13,3.83,172230.0,3.44,4.33,3.34
2014-02-14,4.05,99464.0,3.84,4.25,3.84
2014-02-17,3.9,98463.0,4.08,4.14,3.7
2014-02-18,4.22,135241.0,3.94,4.62,3.79
2014-02-19,3.82,83231.0,4.05,4.18,3.75
2014-02-20,3.85,58542.0,3.8,4.1,3.73
2014-02-21,3.69,53674.0,3.87,3.97,3.55
2014-02-24,3.93,51307.0,3.58,3.95,3.56
2014-02-25,3.95,104406.0,3.94,4.62,3.84
2014-02-26,3.57,64255.0,3.95,4.08,3.23
2014-02-27,3.26,44456.0,3.56,3.64,3.23
2014-02-28,3.61,46951.0,3.25,3.68,2.9
2014-03-03,3.69,28209.0,3.56,3.78,3.5
2014-03-04,3.49,37678.0,3.69,3.75,3.39
2014-03-05,3.53,27603.0,3.48,3.56,3.27
2014-03-06,3.57,25974.0,3.47,3.65,3.25
2014-03-07,3.28,20904.0,3.54,3.54,3.27
2014-03-10,3.29,28212.0,3.16,3.5,3.03
2014-03-11,3.48,32958.0,3.3,3.57,3.19
2014-03-12,3.56,27067.0,3.39,3.84,3.38
2014-03-13,3.55,23291.0,3.57,3.77,3.5
2014-03-14,3.42,11170.0,3.5,3.59,3.37
2014-03-17,3.54,14013.0,3.37,3.61,3.36
2014-03-18,3.52,10886.0,3.5,3.64,3.48
2014-03-19,3.51,20688.0,3.63,3.77,3.42
2014-03-20,3.1,28326.0,3.45,3.47,3.1
2014-03-21,3.26,13249.0,3.1,3.27,3.03
2014-03-24,3.05,20430.0,3.28,3.3,3.02
2014-03-25,3.29,26520.0,3.37,3.46,3.17
2014-03-26,3.29,15711.0,3.28,3.38,3.24
2014-03-27,3.15,14295.0,3.34,3.34,3.15
2014-03-28,3.08,16518.0,3.16,3.25,3.08
2014-03-31,3.05,21076.0,3.1,3.23,3.03
2014-04-01,3.25,11200.0,3.03,3.25,3.03
2014-04-02,3.41,21024.0,3.23,3.52,3.18
2014-04-03,3.33,10873.0,3.38,3.57,3.33
2014-04-04,3.39,6497.0,3.34,3.45,3.3
2014-04-08,3.74,24228.0,3.38,3.75,3.34
2014-04-09,3.73,15066.0,3.76,3.78,3.59
2014-04-10,3.69,14048.0,3.69,3.78,3.68
2014-04-11,3.91,27941.0,3.61,4.04,3.61
2014-04-14,3.86,11313.0,3.9,4.11,3.81
2014-04-15,3.67,14758.0,3.92,3.92,3.62
2014-04-16,3.82,8355.0,3.67,3.83,3.6
2014-04-17,3.74,6645.0,3.82,3.95,3.73
2014-04-18,3.65,6546.0,3.71,3.87,3.59
2014-04-21,3.59,11899.0,3.61,3.76,3.56
2014-04-22,3.34,15158.0,3.61,3.64,3.23
2014-04-23,3.36,10428.0,3.34,3.46,3.3
2014-04-24,3.4,5076.0,3.3,3.45,3.3
2014-04-25,3.24,8258.0,3.44,3.47,3.24
2014-04-28,3.11,11361.0,3.17,3.23,3.1
2014-04-29,3.1,9263.0,3.1,3.17,3.04
2014-04-30,3.5,19162.0,3.29,3.59,3.29
2014-05-05,3.68,18066.0,3.49,3.78,3.49
2014-05-06,3.74,15379.0,3.62,3.86,3.62
2014-05-07,3.68,9807.0,3.71,3.87,3.6
2014-05-08,3.68,7460.0,3.62,3.78,3.57
2014-05-09,3.59,6619.0,3.71,3.73,3.53
2014-05-12,3.72,8956.0,3.68,3.77,3.59
2014-05-13,3.92,19928.0,3.77,4.0,3.71
2014-05-14,3.9,8065.0,3.89,3.99,3.86
2014-05-15,4.11,30602.0,3.85,4.31,3.84
2014-05-16,3.86,21937.0,4.07,4.29,3.78
2014-05-19,3.64,21724.0,3.91,4.04,3.59
2014-05-20,3.76,28783.0,3.62,4.07,3.62
2014-05-21,3.52,52115.0,3.64,3.66,3.32
2014-05-22,3.59,22201.0,3.5,3.76,3.43
2014-05-23,3.68,14001.0,3.61,3.76,3.53
2014-05-26,3.77,23074.0,3.69,3.86,3.6
2014-05-27,3.59,22048.0,3.72,3.77,3.57
2014-05-28,3.69,18822.0,3.62,3.72,3.48
2014-05-29,3.72,20991.0,3.69,3.86,3.65
2014-05-30,3.58,21695.0,3.7,3.75,3.56
2014-06-03,3.57,12638.0,3.58,3.67,3.5
